ubigeo;distrito;centro_poblado;region_natural;altitud_msnm;pob_2017;categoria_ign;lon;lat;fuente_coord
060610;San Luis De Lucma;Huaylulo;Yunga fluvial;2123;11;UNID. AGROPECUARIA;-78.57125242899997;-6.265182592999963;INEI
060611;Santa Cruz;Santa Cruz;Yunga fluvial;1708;364;PUEBLO;-78.85217382699994;-6.095945312999959;IGN
060611;Santa Cruz;Gramalotillo;Yunga fluvial;1764;289;CASERÃO;-78.81141796899999;-6.1746484369999735;IGN
060611;Santa Cruz;Campo Florido;Yunga fluvial;1593;258;CASERÃO;-78.81630463799996;-6.111522878999949;IGN
060611;Santa Cruz;Ambato;Yunga fluvial;1796;156;CASERÃO;-78.85576125799997;-6.134991301999946;IGN
060611;Santa Cruz;La Viña;Yunga fluvial;1824;144;;;;
060611;Santa Cruz;San Martin;Yunga fluvial;1664;142;CASERÃO;-78.82054492099996;-6.162480468999945;IGN
060611;Santa Cruz;El Porvenir;Rupa Rupa;1439;108;CASERÃO;-78.81724413999996;-6.125707916999943;INEI
060611;Santa Cruz;Michigo;Yunga fluvial;1537;95;CASERÃO;-78.85918109899995;-6.056375507999974;INEI
060611;Santa Cruz;Limon Tarros;Yunga fluvial;1791;79;CASERÃO;-78.81338753799997;-6.139713825999934;IGN
060611;Santa Cruz;Lamidero;Yunga fluvial;1733;77;CASERÃO;-78.83863190999995;-6.125002326999947;IGN
060611;Santa Cruz;Chiple Limon;Rupa Rupa;1190;72;CASERÃO;-78.87708846199996;-6.069916312999965;INEI
060611;Santa Cruz;Balsas Choloque;Rupa Rupa;1488;72;;-78.87149148699996;-6.073036098999978;INEI
060611;Santa Cruz;Hualama;Yunga fluvial;1783;71;CASERÃO;-78.86264651599998;-6.116668526999945;IGN
060611;Santa Cruz;El Achote;Rupa Rupa;1424;56;ANEXO;-78.81488473299999;-6.104094159999931;INEI
060611;Santa Cruz;Santa Fe;Yunga fluvial;1640;55;ANEXO;-78.80293945299996;-6.1082109379999565;INEI
060611;Santa Cruz;Alto Pindoe;Yunga fluvial;1935;54;;-78.84743948699997;-6.111259598999936;INEI
060611;Santa Cruz;Bajo Pindoe;Yunga fluvial;1786;53;;-78.84332036199999;-6.116679598999951;INEI
060611;Santa Cruz;Nuevo Cavico;Rupa Rupa;684;51;;-78.84561557199999;-6.042219905999957;IGN
060611;Santa Cruz;Monte Grande;Yunga fluvial;1854;46;ANEXO;-78.80464843799996;-6.122433593999972;IGN
060611;Santa Cruz;Churumayo;Rupa Rupa;1386;40;;;;
060611;Santa Cruz;Puerto Recodo;Rupa Rupa;707;38;CASERÃO;-78.89254528499998;-6.047368042999949;IGN
060611;Santa Cruz;Pindo Naranjal;Rupa Rupa;1100;35;CASERÃO;-78.86978710899996;-6.113755859999969;INEI
060611;Santa Cruz;Punturco;Yunga fluvial;1949;34;ANEXO;-78.84649804599997;-6.082044921999966;INEI
060611;Santa Cruz;San Juan Limon;Yunga fluvial;1535;34;;-78.82899386199995;-6.147810723999953;INEI
060611;Santa Cruz;Las Paltas;Rupa Rupa;1457;32;ANEXO;-78.83296975099995;-6.1435708049999675;INEI
060611;Santa Cruz;Vista Alegre;Yunga fluvial;2028;31;CASERÃO;-78.86145117099994;-6.080498046999935;INEI
060611;Santa Cruz;La Florida;Yunga fluvial;1596;28;;-78.85474998699993;-6.15465809899996;INEI
060611;Santa Cruz;La Palma;Yunga fluvial;1882;19;CASERÃO;-78.84468554599994;-6.152015624999933;IGN
060611;Santa Cruz;Cabuyal;Rupa Rupa;1058;18;ANEXO;-78.88383011099995;-6.056131843999935;INEI
060611;Santa Cruz;Huarangito;Rupa Rupa;1216;12;;;;
060611;Santa Cruz;Marcopampa;Yunga fluvial;1504;11;ANEXO;-78.86884179699996;-6.0941621099999566;INEI
060611;Santa Cruz;Santa Rosa De Lima;Yunga fluvial;1907;11;ANEXO;-78.84999725899996;-6.097098164999977;INEI
060611;Santa Cruz;Choloque;Yunga fluvial;1615;9;ANEXO;-78.85706835799994;-6.095193359999939;INEI
060611;Santa Cruz;Agua Dulce;Yunga fluvial;1807;6;ANEXO;-78.84670117199994;-6.08631640699997;INEI
060611;Santa Cruz;Huayanay;Rupa Rupa;1390;5;ANEXO;-78.86264321799996;-6.096427093999978;IGN
060611;Santa Cruz;Majuncho;Rupa Rupa;1203;4;ANEXO;-78.87643308399998;-6.066367679999928;INEI
060611;Santa Cruz;La Mesetilla;Rupa Rupa;1166;3;ANEXO;-78.87777734399998;-6.057552733999955;INEI
060611;Santa Cruz;Borjillo;Rupa Rupa;1072;3;ANEXO;-78.82673242199996;-6.0848808599999415;INEI
060611;Santa Cruz;Balsas;Rupa Rupa;1441;2;;-78.87149148699996;-6.073036098999978;INEI
060611;Santa Cruz;El Sillon;Rupa Rupa;1368;2;;-78.82888086199995;-6.139960848999976;INEI
060611;Santa Cruz;Barro Negro;Rupa Rupa;811;1;ANEXO;-78.89262109399994;-6.057574218999946;INEI
060611;Santa Cruz;La Catahua;Rupa Rupa;796;1;ANEXO;-78.88748828099995;-6.059701171999961;INEI
